id,ship_name,mmsi,sog,cog,heading,nav_status,lon,lat,width,length,ship_type,p99_speed,iso_flag,iso_anomaly,p99_anomaly,speed_anomaly
8795,NORTH CAROLINA,366997480,0.0,0.0,511,15,-92.09409,46.75376,7,28,31,0.0,1,False,False,False
6674,ARGONON,244740681,9.9,141.8,511,0,4.20683,51.57966,17,135,80,9.9,1,False,False,False
6675,QUEEN STAR 3,566994000,0.0,86.5,271,0,103.81769,1.2622,7,30,40,0.0,1,False,False,False
6677,OEG FULMAR,232060878,0.0,214.4,119,0,-3.29066,53.49361,8,24,40,30.47,1,False,False,False
6680,JENNIFER A,367097520,0.0,204.8,511,5,-122.37866,47.65672,10,37,30,2.66,1,False,False,False
6682,EMERALD DUCHESS,232048964,5.3,269.8,266,0,-1.12279,54.68506,14,72,33,5.4,1,False,False,False
6683,LINA,211664180,0.0,230.9,306,5,9.96667,53.53147,11,85,80,0.0,1,False,False,False
6690,FOSNA ALPHA,258010880,0.0,360.0,511,0,5.11392,61.93371,6,13,79,0.0,1,False,False,False
6721,WSF CHETZEMOKA,367463060,0.1,81.9,172,0,-122.51417,47.30645,20,83,60,0.29399999999999993,1,False,False,False
6730,ZAZA,244071935,0.0,360.0,511,0,4.92031,52.36858,4,10,69,0.07300000000000005,1,False,False,False
6750,SPIRIT OF THE RHINE,269057750,0.1,310.8,42,5,4.49049,51.916,12,135,69,10.927999999999999,1,False,False,False
6757,SEAWOLF,511101760,11.4,74.0,75,0,-0.51797,50.26033,16,130,70,11.4,1,False,False,False
6758,BB ELECTRA,257681000,0.0,211.0,245,0,10.74787,59.88757,11,22,52,0.0,1,False,False,False
6770,RESCUE STORMBULL,258258500,0.0,218.4,162,0,10.04151,58.99912,5,17,51,0.0,1,False,False,False
6771,SANKATY,366917530,0.0,125.7,262,0,-70.67132,41.52292,16,72,60,0.0,1,False,False,False
6783,F/V GROS MINET,228206000,7.0,133.1,511,15,-0.07915,49.59014,6,16,30,6.72,1,False,True,True
6790,EL CAZADOR,255915864,0.1,354.5,326,9,23.64999,37.93146,8,44,37,0.098,1,False,True,True
6795,IJSVOGEL,244700122,0.0,146.3,28,5,5.82694,51.85839,9,80,79,0.0,1,False,False,False
6797,SJOVAAG,259050320,0.0,192.0,271,5,18.64827,69.68968,8,15,70,0.1,1,False,False,False
6798,VARDEHORN,259650000,0.0,128.6,123,0,13.01035,66.20097,16,112,60,0.0,1,False,False,False
6799,HAGLAND BORG,258709000,10.0,312.5,315,0,5.74884,58.46664,13,88,75,10.0,1,False,False,False
6909,EMPEDOCLE,227056460,0.0,96.3,148,3,-1.22735,45.97639,10,57,90,0.0,1,False,False,False
6914,SST SALISH,316033399,0.0,241.7,324,0,-122.97436,49.29041,10,20,31,0.0,1,False,False,False
6917,HALLAIG,235099235,0.0,212.9,213,5,-6.0833,57.3494,12,43,60,0.0,1,False,False,False
6922,LIDA,244700380,0.0,360.0,511,0,4.66795,52.46756,7,50,80,0.0,1,False,False,False
6947,XIN MING ZHU XVI,477997147,0.1,311.0,7,5,114.15083,22.3174,11,45,40,0.595,1,False,False,False
6976,NURI SONAY,371251000,11.7,31.0,32,0,4.34232,52.98039,22,143,79,11.795,1,False,False,False
6978,PIERRE JANSSEN,244750259,0.0,360.0,511,0,4.89739,52.37864,5,23,69,0.0,1,False,False,False
6980,IJSLAND,244780264,0.0,228.5,511,0,5.82749,51.85869,6,22,79,0.0,1,False,False,False
6989,SOUTHERN ROSE,367451120,0.0,83.7,511,0,-79.95531,32.85555,7,17,31,0.0,1,False,False,False
6994,EMERALD LADY,368156510,4.5,168.6,511,0,-87.63785,41.88633,9,30,60,5.46,1,False,False,False
6998,TYCHO BRAHE,219230000,3.7,49.4,50,0,12.68919,56.04317,28,110,69,10.197,1,False,False,False
7000,STI HAMMERSMITH,538005410,0.0,114.6,309,5,4.1932,51.93432,27,184,80,0.0,1,False,False,False
7001,FUGRO PIONEER,311000262,0.0,232.0,161,0,12.11095,54.14778,13,54,99,0.0,1,False,False,False
7002,RESCUE K9-02 TBN,265048090,0.0,137.0,41,0,11.64912,57.68139,4,9,51,0.0,1,False,False,False
7003,VB PUISSANT,228293700,0.0,314.5,209,0,2.36194,51.0414,10,32,52,0.0,1,False,False,False
7004,W.A. MOZART,244250602,0.0,360.0,511,0,4.89878,52.37709,4,19,69,0.0,1,False,False,False
7008,OCEAN FREJA,512218780,0.0,360.0,178,7,176.17262,-37.67117,6,24,0,0.0,1,False,False,False
7009,WESSEL,244670642,0.0,0.0,511,0,5.06844,52.11137,11,110,99,0.0,1,False,False,False
7014,EMS SKY,255915773,0.1,0.0,511,5,7.45203,53.21747,9,30,31,6.2379999999999995,1,False,False,False
7022,REGATTA,538001664,0.0,283.4,271,5,103.81806,1.26182,26,180,60,0.0,1,False,False,False
7025,SUNNAN,265615050,0.0,360.0,259,0,18.0756,59.32677,5,29,60,0.099,1,False,False,False
7029,KOEPENICK,211599130,0.0,360.0,511,7,13.33955,52.521,7,48,69,0.0,1,False,False,False
7031,MSC VALERIA,370341000,18.1,254.4,254,0,-0.81065,50.36009,51,366,71,17.557,-1,True,True,True
7032,HELENA GEERTJE,244770274,0.1,360.0,511,0,6.05254,52.62866,12,110,99,6.180000000000001,1,False,False,False
7039,OSTRAVA,267210076,0.0,160.0,511,0,17.15835,48.12687,13,47,99,0.0,1,False,False,False
7042,MARIA,211759620,0.0,360.0,511,0,13.2972,52.52425,6,30,69,0.18900000000000006,1,False,False,False
7099,AART SR,244660738,0.0,105.4,511,0,4.63476,51.80405,5,29,99,0.0,1,False,False,False
7377,HERBADI DOS,224229000,0.0,360.0,511,7,-8.75132,42.23107,8,37,30,0.0,1,False,False,False
7389,FALKENSTEIN,211500910,0.0,337.7,511,5,9.20324,49.14778,10,105,79,4.023,1,False,False,False
7392,H4-DE WEERDER,244730185,0.0,360.0,511,5,5.56684,51.83136,4,19,69,0.0,1,False,False,False
7402,SEAWAY ALFA LIFT,209178000,0.1,94.0,209,3,-2.08789,56.46405,56,218,79,0.29699999999999993,1,False,False,False
7447,RAMSEY A. NEALE,368073580,0.0,18.4,45,0,-81.53987,39.35117,7,20,31,0.0,1,False,False,False
